Investment Banking Name,Country
The A.P. Mahesh Co-operative Urban Bank Ltd.,India
The Akola Janata Commercial Co-op. Bank Ltd.,India
The Cosmos Co-operative Bank Ltd.,India
The Kapol Co-operative Bank Ltd.,India
The Sahebrao Deshmukh Co-operative Bank Limited,India
TMI e2E Academy Private Limited,India
Lembaga Pengembangan Perbankan Indonesia,Indonesia
PT Bank Chinatrust Indonesia,Indonesia
PT Bank Muamalat Indonesia Tbk,Indonesia
PT Bank Pembangunan Daerah Sumatera Barat,Indonesia
PT Bank Pembangunan Daerah Sumatera Utara,Indonesia
PT Danareksa Research Institute,Indonesia
"PT Indo Premier Securities, Research Division",Indonesia
"PT Mega Capital Indonesia, Research Division",Indonesia
PT Tass Axia Solusi,Indonesia
PT. Bank Lampung,Indonesia
PT. Bank Pembangunan Daerah Riau,Indonesia
"PT. MNC Securities, Research Division",Indonesia
SF Consulting,Indonesia
"The Royal Bank of Scotland N.V., Indonesia Branch",Indonesia
Bank Mellat Brokerage Co.,Iran
Middle East Bank,Iran
Bank of Ireland Global Markets,Ireland
Barclays Bank Ireland Public Limited Company,Ireland
Merrill Lynch International Bank Limited,Ireland
Sysxnet Limited,Ireland
TD Global Finance,Ireland
The Bank of New York Mellon (Ireland) Limited,Ireland
Ulster Bank Finance PLC,Ireland
WGZ Bank Ireland plc,Ireland
"Bank Leumi Le-Israel BM, Research Division",Israel
"Bank of Jerusalem Ltd., Research Division",Israel
Bank Poaley Agudat Israel Ltd.,Israel
Citi International Personal Bank (Israel),Israel
"Excellence Nessuah Brokerage Services Ltd., Research Division",Israel
"First International Bank of Israel Ltd., Research Division",Israel
Ilanot Batucha Capital Markets (1993) Ltd.,Israel
Israel Bank of Agriculture Ltd,Israel
Mercantile Discount Bank Ltd.,Israel
Tefahot Israel Mortgage Bank Ltd,Israel
TopNotch Capital,Israel
Banca Antonveneta S.p.A.,Italy
Banca Carime S.p.A.,Italy
Banca Cremasca Credito Cooperativo Soc. Coop.,Italy
Banca di Bergamo SpA,Italy
Banca di Ciampino Credito Cooperativo scpa a rl,Italy
Banca di Credito Cooperativo di Cambiano S.c.r.l.,Italy
Banca di Credito Cooperativo di Corinaldo S. C.,Italy
Banca di Credito Cooperativo di Fiumicello e Aiello,Italy
Banca Di Credito Cooperativo Di Offanengo Scarl,Italy
Banca Ifigest S.P.A.,Italy
Banca Mediolanum S.p.A,Italy
BANCA MONTE PARMA SpA,Italy
Banca Popolare del Meridione,Italy
Banca Popolare delle Province Molisane S.C.P.A A.R.L,Italy
Banca Popolare Di Bergamo S.p.A.,Italy
Banca Regionale Europea Societ † per Azioni,Italy
Banca Valsabbina S.C.p.A.,Italy
Bipiemme Private Banking SIM SpA,Italy
Cassa di Risparmio di Cesena S.p.A.,Italy
Cassa di Risparmio di Parma e Piacenza SpA,Italy
Cassa di Risparmio di Vignola S.p.A.,Italy
Cassa Rurale della Valle dei Laghi - Banca Di Credito Cooperativo,Italy
Cassa Rurale di Trento,Italy
Cassa Rurale e Artigiana di Boves Banca di Credito Cooperativo Scrl,Italy
Casse del Centro S.p.A.,Italy
Credito Cooperativo Mediocrati S.c.r.l.,Italy
Credito Siciliano S.p.A.,Italy
e-MID SIM S.p.A.,Italy
Eurobanca del Trentino s.p.a.,Italy
GSC Proxitalia SPA,Italy
Iccrea Banca S.p.A.,Italy
Istituto Bancario del Lavoro S.p.A.,Italy
Livolsi & Partners SpA,Italy
Mida S.p.A.,Italy
MPS Capital Services Banca per le Imprese S.p.A.,Italy
Nomisma Spa,Italy
SGSS S.p.A.,Italy
State Street Bank S.p.A.,Italy
Unipol Banca S.p.A.,Italy
Capital & Credit Securities Ltd.,Jamaica
ABN AMRO Securities (Japan) Limited,Japan
"Ashikaga Bank, Ltd.",Japan
Backs Group Inc.,Japan
Barclays Securities Japan Limited,Japan
Credit Suisse Trust and Banking Co.,Japan
Daiwa Bank Ltd.,Japan
Dresdner Kleinwort (Japan) Limited,Japan
"Gomez Consulting Co., Ltd.",Japan
"Hamagin Tokai Tokyo Securities Co., Ltd.",Japan
"Hokuto Bank, Ltd.",Japan
Intellectual Property Bank Corp.,Japan
"Japan Trustee Services Bank, Ltd.",Japan
K.K. Kadoya Shokai,Japan
Lloyds Bank,Japan
RBS Securities Japan Limited,Japan
"Recruit Career Co., Ltd.",Japan
"Resona Bank, Ltd.",Japan
"Resona Trust & Banking Co.,Ltd.",Japan
Shinginko Tokyo Ltd.,Japan
State Bank of India Japan,Japan
"State Street Trust and Banking Co., Ltd.",Japan
"The Bank of New York Mellon Trust (Japan), Limited",Japan
"The Bank of New York Mellon, Tokyo Branch",Japan
The Gifu Shinkin Bank Ltd.,Japan
"The Hokoku Bank, Ltd.",Japan
"The Master Trust Bank of Japan, Ltd.",Japan
"The Nomura Trust and Banking Co., Ltd.",Japan
"The Norinchukin Trust & Banking Co., Ltd.",Japan
The Okazaki Shinkin Bank,Japan
The Osaka City Shinkin Bank,Japan
The Tama Shinkin Bank,Japan
The Tokyo Higashi Shinkin Bank,Japan
