Investment Banking Name,Country
IMAP MB Partners Zrt.,Hungary
International Mergers & Acquisition Hungary Ltd.,Hungary
Invescom Corporate Finance,Hungary
Arion Bank hf.,Iceland
Centra Corporate Finance Ltd.,Iceland
H.F. Securities hf.,Iceland
Kontakt Inc.,Iceland
MP Banki hf.,Iceland
Reykjavik Savings Bank,Iceland
Straumur Investment Bank hf.,Iceland
AGacquisitions India,India
Alcor Capital & Asset Management Pvt. Ltd.,India
Alvarez & Marsal India Pvt. Ltd.,India
Anand Rathi Financial Services Limited,India
Asian Markets Securities Private Limited,India
Austal India Pvt. Ltd.,India
Avendus Capital Private Limited,India
a'XYKno Capital Services Ltd.,India
BackWater Capital Advisors LLP,India
CD Equisearch Private Limited,India
Citigroup Global Markets India Private Limited,India
"Deutsche Bank AG, India",India
Divitas Capital Advisors Pvt Ltd.,India
DSP Merrill Lynch Limited,India
East India Securities Ltd,India
Elara Capital (India) Private Limited,India
Eternus Capital,India
Exl Service.com (India) Private Limited,India
Goldman Sachs (India) Securities Private Limited,India
Hero Corporate Service Limited,India
HSBC Securities and Capital Markets (India) Private Limited,India
ICRA Management Consulting Services Limited,India
India Advisory Partners Pvt. Ltd.,India
Karvy Consultants Limited,India
Kriscore Financial Advisors Private Limited,India
Mosaic Capital Services Private Limited,India
o3 Capital Advisors Pvt. Ltd.,India
OMKAM Capital Markets Pvt. Ltd.,India
Sagar Systech Limited,India
Singhi Advisors Limited,India
Standard Chartered Securities (India) Ltd.,India
Stewart & Mackertich Wealth Management Limited,India
